% Metodo di bisezione, f: (x) => Math.exp(-Math.exp(-x)) - x, I: [0, 1]
$k$	$a_k$	$b_k$	$x_k$	$s_{a_k}$	$s_{b_k}$	$s_k$	$|b_{k}-a_{k}|$	$f_k$
0	0	1	0.5	1	-1	1	1	0.04523921189260505
1	0.5	1	0.75	1	-1	-1	0.5	-0.1264750837431996
2	0.5	0.75	0.625	1	-1	-1	0.25	-0.03948380049834488
3	0.5	0.625	0.5625	1	-1	1	0.125	0.0031482701763533294
4	0.5625	0.625	0.59375	1	-1	-1	0.0625	-0.01809827782563944
5	0.5625	0.59375	0.578125	1	-1	-1	0.03125	-0.007457848189940552
6	0.5625	0.578125	0.5703125	1	-1	-1	0.015625	-0.0021505283809595266
7	0.5625	0.5703125	0.56640625	1	-1	1	0.0078125	0.0004999324392446214
8	0.56640625	0.5703125	0.568359375	1	-1	-1	0.00390625	-0.0008250321300372621
9	0.56640625	0.568359375	0.5673828125	1	-1	-1	0.001953125	-0.00016248344189695452

