% Metodo di bisezione, f: (x) => Math.sin(x), I: [3, 3.2]
$k$	$a_k$	$b_k$	$x_k$	$s_{a_k}$	$s_{b_k}$	$s_k$	$|b_{k}-a_{k}|$	$f_k$
0	3	3.2	3.1	1	-1	1	0.20000000000000018	0.04158066243329049
1	3.1	3.2	3.1500000000000004	1	-1	-1	0.10000000000000009	-0.008407247367149063
2	3.1	3.1500000000000004	3.125	1	-1	1	0.050000000000000266	0.016591892229347906
3	3.125	3.1500000000000004	3.1375	1	-1	1	0.025000000000000355	0.004092642164605302
4	3.1375	3.1500000000000004	3.1437500000000003	1	-1	-1	0.012500000000000178	-0.00215734473677411
5	3.1375	3.1437500000000003	3.140625	1	-1	1	0.006250000000000089	0.0009676534387822795
6	3.140625	3.1437500000000003	3.1421875000000004	1	-1	-1	0.0031250000000002665	-0.0005948463751268186
7	3.140625	3.1421875000000004	3.14140625	1	-1	1	0.0015625000000003553	0.00018640358871358837
8	3.14140625	3.1421875000000004	3.1417968750000003	1	-1	-1	0.0007812500000001776	-0.0002042214087874719
9	3.14140625	3.1417968750000003	3.1416015625	1	-1	-1	0.0003906250000000888	-0.000008908910206643689

