% Metodo di bisezione, f: (x) => x * x - 6, I: [0, 6]
$k$	$a_k$	$b_k$	$x_k$	$s_{a_k}$	$s_{b_k}$	$s_k$	$|b_{k}-a_{k}|$	$f_k$
0	0	6	3	-1	1	1	6	3
1	0	3	1.5	-1	1	-1	3	-3.75
2	1.5	3	2.25	-1	1	-1	1.5	-0.9375
3	2.25	3	2.625	-1	1	1	0.75	0.890625
4	2.25	2.625	2.4375	-1	1	-1	0.375	-0.05859375
5	2.4375	2.625	2.53125	-1	1	1	0.1875	0.4072265625
6	2.4375	2.53125	2.484375	-1	1	1	0.09375	0.172119140625
7	2.4375	2.484375	2.4609375	-1	1	1	0.046875	0.05621337890625
8	2.4375	2.4609375	2.44921875	-1	1	-1	0.0234375	-0.0013275146484375
9	2.44921875	2.4609375	2.455078125	-1	1	1	0.01171875	0.027408599853515625

