% Metodo delle corde, f: (x) => Math.exp(-Math.exp(-x)) - x, $a$: 1, $x_0$: 0.5
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	0.5	0.04523921189260505	-0.7060771686745175	0.0640712005707964
1	0.5640712005707964	0.002083291086126149	-0.7108561396643993	0.002930678895324279
2	0.5670018794661207	0.0000959245078132609	-0.7110776752860667	0.0001349001820014628
3	0.5671367796481221	0.00000441656237892829	-0.7110878784222336	0.000006210993764521611
4	0.5671429906418867	2.033470936080306e-7	-0.7110883482011426	2.8596600420982554e-7
5	0.5671432766078909	9.362493225140156e-9	-0.7110883698306858	1.3166427170752115e-8
6	0.567143289774318	4.310672929719317e-10	-0.7110883708265519	6.062077506641117e-10
7	0.5671432903805258	1.9847234966619e-11	-0.7110883708724035	2.7911117861378898e-11
8	0.5671432904084369	9.137135492665038e-13	-0.7110883708745145	1.2849721287011562e-12
9	0.5671432904097219	4.207745263329343e-14	-0.7110883708746117	5.917488721252084e-14

