% Metodo delle corde, f: (x) => x * x - 6, $a$: 6, $x_0$: 3
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	3	3	9	0.3333333333333335
1	2.6666666666666665	1.1111111111111107	8.666666666666666	0.1282051282051282
2	2.5384615384615383	0.4437869822485201	8.538461538461538	0.05197505197505192
3	2.4864864864864864	0.18261504747991175	8.486486486486486	0.021518333620244245
4	2.464968152866242	0.07606799464481373	8.464968152866243	0.0089862115569872
5	2.455981941309255	0.03184729603717695	8.455981941309254	0.003766244566062227
6	2.4522156967431927	0.013361823353702285	8.452215696743194	0.0015808663471341688
7	2.4506348303960586	0.005611071950318625	8.450634830396059	0.0006639822999021661
8	2.4499708480961564	0.0023571565209996592	8.449970848096157	0.00027895439681069334
9	2.4496918936993457	0.000990374056286214	8.449691893699347	0.00011720830401218407

